"John Fanning for Ward 2","John Fanning","2020","Active","Council Ward 2"
"Kishan For DC 2020","Kishan Putta","2020","Active","Council Ward 2"
"Green for Ward 7","Anthony Lorenzo Green","2020","Active","Council Ward 7"
"Daniel Hernandez For Ward 2","Daniel Hernandez","2020","Active","Council Ward 2"
"Dale for DC","Anthony Dale","2020","Active","Council At-Large"
"Committee to Elect Janeese Lewis George","Janeese Lewis George","2020","Active","Council Ward 4"
"Markus for DC","Markus Batchelor","2020","Active","Council At-Large"
"Committee to Elect Taurus Phillips","Taurus Phillips","2020","Active","Council Ward 8"
"Gaston 2020","Darrell Gaston","2020","Active","SBOE Ward 8"
"Kelvin Brown for DC Council Ward 7","Kelvin Brown","2020","Active","Council Ward 7"
"Rosenberg 2020","Aristotle Rosenberg","2020","Active","Council Ward 7"
"Yilin Zhang for Ward 2","Yilin Zhang","2020","Active","Council Ward 2"
"Committee to Elect Renee Bowser","Renee Bowser","2020","Active","Council Ward 4"
"Let's Reid 2020","Carlene Reid","2020","Active","SBOE Ward 8"
"Committee to Elect Stuart Anderson 2020","Stuart Anderson","2020","Active","Council Ward 8"
"Chander for Council","Chander Jayaraman","2020","Active","Council At-Large"
"Committee to Elect Mario Cristaldo","Mario Cristaldo","2020","Active","Council At-Large"
"Danielle Platt For Ward 8","Danielle Platt","2020","Active","Council Ward 8"
"Franklin for DC 2020","Franklin Garcia","2020","Active","Council At-Large"
"Friends of Christina Henderson","Christina Henderson","2020","Active","Council At-Large"
"Jordan Grossman for Ward 2 Special Election","Jordan Grossman","2020","Active","Council Ward 2 (Special)"
"Kishan Putta for Ward 2 Special Election 2020","Kishan Putta","2020","Active","Council Ward 2 (Special)"
"Mike for Ward 8","Mike Austin","2020","Active","Council Ward 8"
"Katherine For Ward 2 Special","Katherine Venice","2020","Active","Council Ward 2 (Special)"
"Katherine For Ward 2","Katherine Venice","2020","Active","Council Ward 2"
"Evans Ward 2","Jack Evans","2020","Active","Council Ward 2 (Special)"
"Evans 2020","Jack Evans","2020","Active","Council Ward 2"
"Patrick Kennedy for Ward 2 Special June 16, 2020","Patrick Kennedy","2020","Active","Council Ward 2 (Special)"
"Re-Elect Trayon White 2020","Trayon White","2020","Active","Council Ward 8"
"Committee to Elect Jeanne' Lewis for City Council","Jeanné Lewis","2020","Active","Council At-Large"
"Christopher Cole for Ward 8","Christopher Cole","2020","Active","Council Ward 8"
"Fanning for Ward 2 Special Election","John Fanning","2020","Active","Council Ward 2 (Special)"
"Monica Palacio for City Council","Mónica Palacio","2020","Active","Council At-Large"
"Will Merrifield for DC","Will Merrifield","2020","Active","Council At-Large"
"Boston for State Board of Education At-Large","Charles Boston","2020","Active","SBOE At-Large"
"Vote Fria Moore 2020","Fria Moore","2020","Active","Council Ward 7"
"Boston For State Board of Education Ward 7 2020","Charles Boston","2020","Active","SBOE Ward 7"
"Ed Lazere for DC Council At-Large","Ed Lazere","2020","Active","Council At-Large"
